Nom,Signification,Type,Format,Taille,Obligatoire,Calculée
article_titre,Titre principal de l'article,Texte,Texte,255,Oui,Non
article_contenu,Contenu principal de l'article,Texte,Texte long,,Oui,Non
article_date,Date de publication,Date,JJ/MM/AAAA,,Oui,Non
article_image,Image de couverture,Texte,URL,255,Non,Non
article_vues,Nombre de lectures,Nombre,Entier,,Oui,Oui
auteur_nom,Nom de l'auteur,Texte,Texte,100,Oui,Non
auteur_email,Adresse email de l'auteur,Texte,Email,255,Oui,Non
auteur_avatar,Photo de profil de l'auteur,Texte,URL,255,Non,Non
categorie_nom,Nom de la catégorie,Texte,Texte,50,Oui,Non
commentaire_texte,Contenu du commentaire,Texte,Texte long,,Oui,Non
commentaire_date,Date du commentaire,Date,JJ/MM/AAAA hh:mm,,Oui,Non
